naive,reorder,direct
0.850136,0.870962,1.33697
0.853691,0.864322,1.27153
0.855277,0.864813,1.27176
0.850969,0.868362,1.27207
0.855048,0.865688,1.27145
0.854872,0.865063,1.27107
0.851222,0.86528,1.27165
0.852243,0.864326,1.27115
0.852519,0.866749,1.27141
0.854432,0.86424,1.27168
0.853242,0.86509,1.27136
0.854151,0.863699,1.27159
0.853484,0.865125,1.27141
0.853842,0.864139,1.27139
0.854699,0.864716,1.27142
0.884862,0.971277,1.27199
0.853458,0.864596,1.27151
0.851838,0.864473,1.27177
0.852392,0.882479,1.27201
0.854125,0.863418,1.2717
0.8533,0.863761,1.27126
0.852748,0.863865,1.27165
0.851452,0.86485,1.27123
0.852742,0.864516,1.2716
0.855348,0.864875,1.27106
0.851497,0.864256,1.27149
0.852807,0.866318,1.27189
0.851917,0.864703,1.27142
0.852815,0.866003,1.27154
0.85254,0.864645,1.27163
0.852334,0.865086,1.27122
0.852952,0.868422,1.27142
