naive,reorder,direct
0.215044,0.190896,0.382232
0.2266,0.222188,0.317662
0.232935,0.202743,0.317337
0.214652,0.191711,0.317063
0.213963,0.191373,0.316965
0.21478,0.191506,0.317135
0.220146,0.199569,0.317188
0.214375,0.191497,0.316964
0.214615,0.191413,0.316976
0.214718,0.191394,0.316962
0.214651,0.191365,0.317002
0.213983,0.19134,0.316954
0.215046,0.19136,0.316971
0.21462,0.191368,0.316925
0.222768,0.192278,0.317156
0.213897,0.191449,0.317042
0.213757,0.192047,0.316995
0.214035,0.191457,0.316929
0.214263,0.191399,0.316969
0.213831,0.191462,0.316948
0.215125,0.191342,0.316988
0.215093,0.19158,0.317021
0.214466,0.191435,0.316963
0.215514,0.191354,0.316923
0.214888,0.191362,0.316965
0.214549,0.192684,0.316998
0.214671,0.191352,0.316934
0.214465,0.191435,0.316962
0.214655,0.1914,0.316935
0.214019,0.191334,0.316944
0.215111,0.191426,0.316927
0.213632,0.191365,0.316984
