naive,reorder,direct
0.42438,0.410105,0.698708
0.424232,0.406975,0.633095
0.423212,0.406074,0.633049
0.4236,0.406296,0.633045
0.423933,0.406321,0.632995
0.423395,0.405982,0.633007
0.424995,0.406662,0.633087
0.42598,0.406482,0.633242
0.424612,0.40607,0.633042
0.424749,0.406602,0.633154
0.425247,0.407228,0.633042
0.425806,0.405993,0.633028
0.424546,0.406137,0.632976
0.423334,0.418419,0.633362
0.424743,0.406716,0.633032
0.425549,0.406566,0.633025
0.425579,0.406116,0.633012
0.42479,0.406581,0.633
0.425454,0.406537,0.632971
0.42461,0.406458,0.633009
0.425729,0.406204,0.633024
0.424344,0.405923,0.633007
0.425018,0.406779,0.633013
0.424087,0.406935,0.633039
0.423944,0.408084,0.63322
0.425204,0.406275,0.633041
0.424356,0.406345,0.633023
0.425163,0.406418,0.632976
0.425477,0.406018,0.633019
0.426291,0.40645,0.633006
0.42466,0.406168,0.633046
0.424757,0.406561,0.633039
