naive,reorder,direct
0.845361,1.41526,1.68112
0.847458,1.42203,1.60841
0.857337,1.42296,1.61455
0.845237,1.42214,1.60798
0.844644,1.4221,1.60484
0.843941,1.42212,1.60483
0.845476,1.4224,1.61238
0.846942,1.42194,1.60792
0.844691,1.422,1.60577
0.843654,1.42215,1.6073
0.844778,1.42206,1.60597
0.844547,1.42206,1.61136
0.845905,1.42203,1.61334
0.84447,1.42192,1.60636
0.854238,1.42357,1.61406
0.844891,1.42216,1.60687
0.845418,1.42202,1.60408
0.844139,1.42191,1.60835
0.845852,1.4226,1.61255
0.846029,1.42203,1.60523
0.845897,1.42199,1.61035
0.845777,1.42211,1.60523
0.846815,1.42208,1.60656
0.844404,1.42207,1.60565
0.843827,1.42199,1.60614
0.844147,1.4219,1.60775
0.84469,1.42215,1.60941
0.848574,1.42291,1.61394
0.845979,1.4219,1.60583
0.844629,1.42914,1.61441
0.844981,1.42202,1.60908
0.844627,1.42207,1.60491
