naive,reorder,direct
0.853189,1.76269,3.25782
0.853639,1.57881,3.18174
0.852838,1.57879,3.18664
0.854368,1.57925,3.18041
0.851386,1.57869,3.17866
0.854468,1.57922,3.17917
0.85398,1.57892,3.18502
0.855216,1.57851,3.17923
0.854822,1.5787,3.18513
0.853317,1.58012,3.18793
0.853607,1.59698,3.19128
0.854495,1.5808,3.1856
0.852151,1.57886,3.18175
0.852402,1.57872,3.17753
0.855418,1.57867,3.18424
0.853458,1.57865,3.18042
0.852168,1.57876,3.18479
0.854355,1.5801,3.17821
0.852147,1.58509,3.18526
0.854829,1.58755,3.19085
0.851832,1.58975,3.18081
0.855549,1.57889,3.18561
0.853543,1.57899,3.18647
0.85274,1.57887,3.18215
0.853582,1.57864,3.18242
0.853424,1.57872,3.18179
0.856986,1.60272,3.19206
0.854417,1.57898,3.1834
0.851727,1.57872,3.18279
0.8533,1.57883,3.1787
0.879634,1.61224,3.19131
0.853432,1.57865,3.18767
