naive,reorder,direct
0.86457,3.24999,6.41064
0.866414,2.42107,6.34326
0.866052,2.41579,6.34121
0.864212,2.42077,6.34282
0.868893,2.42014,6.34317
0.86412,2.41576,6.34293
0.865578,2.41577,6.34119
0.865546,2.41567,6.34072
0.865633,2.41638,6.34028
0.86407,2.4179,6.34216
0.864679,2.42531,6.34316
0.864743,2.41596,6.34264
0.864604,2.41293,6.3409
0.863745,2.41564,6.34207
0.864187,2.41476,6.33926
0.865107,2.41506,6.34353
0.865567,2.41684,6.34339
0.864021,2.41606,6.34196
0.865149,2.4144,6.34213
0.864997,2.4161,6.34242
0.864452,2.41602,6.33965
0.867128,2.41577,6.33795
0.865313,2.41502,6.344
0.865159,2.41558,6.34097
0.863391,2.41707,6.34145
0.866544,2.41616,6.34017
0.863313,2.41555,6.34135
0.865174,2.41519,6.341
0.870608,2.41648,6.34201
0.873227,2.41765,6.34228
0.865545,2.41426,6.34041
0.863747,2.41533,6.34131
