naive,reorder,direct
0.214496,0.187866,0.381542
0.214102,0.189952,0.316854
0.21385,0.187739,0.316772
0.213838,0.188176,0.316777
0.213887,0.187735,0.316757
0.214011,0.188549,0.317813
0.214465,0.187724,0.316738
0.2136,0.187729,0.316736
0.213657,0.187967,0.317894
0.213449,0.188006,0.31786
0.212336,0.187784,0.316889
0.213493,0.18784,0.316776
0.213962,0.187761,0.316759
0.21392,0.187735,0.316744
0.213028,0.187738,0.316745
0.213653,0.187821,0.316784
0.214021,0.187749,0.316735
0.213378,0.187953,0.317877
0.213725,0.187761,0.316753
0.213597,0.187744,0.31674
0.213577,0.188154,0.316726
0.213387,0.187755,0.316723
0.213654,0.187744,0.31675
0.213668,0.187911,0.316715
0.213823,0.187853,0.316838
0.213766,0.188843,0.316795
0.213847,0.187715,0.316909
0.213122,0.187716,0.316743
0.213782,0.187768,0.316745
0.212599,0.187717,0.316762
0.214567,0.187887,0.316771
0.213794,0.187976,0.316784
