naive,reorder,direct
0.425903,0.915635,1.68021
0.427285,0.741582,1.60624
0.428189,0.746229,1.60899
0.426276,0.743716,1.60904
0.425491,0.741345,1.60482
0.427424,0.741232,1.6047
0.427231,0.74135,1.60567
0.426332,0.742432,1.60618
0.426734,0.741493,1.60934
0.426932,0.741238,1.60564
0.42768,0.741472,1.60845
0.42594,0.743101,1.6093
0.427212,0.741337,1.60447
0.427409,0.741269,1.6111
0.42628,0.743334,1.60757
0.426818,0.741275,1.60784
0.426607,0.741358,1.60463
0.428435,0.741819,1.60923
0.42639,0.741628,1.60614
0.42629,0.741333,1.60965
0.427094,0.741389,1.60618
0.427164,0.741536,1.60717
0.425805,0.741315,1.60438
0.426633,0.741263,1.60593
0.426689,0.741229,1.60551
0.427568,0.741261,1.60553
0.426935,0.741368,1.60618
0.427619,0.742255,1.61363
0.427063,0.74144,1.60647
0.426004,0.741599,1.60536
0.425988,0.741227,1.60436
0.427328,0.742268,1.606
