naive,reorder,direct
0.0275596,0.0225442,0.0873951
0.026889,0.022369,0.000155466
0.0267467,0.0223601,0.000132079
0.0269666,0.0223539,0.000121172
0.0270641,0.0223343,0.000140483
0.0270801,0.0223266,0.000141496
0.0268072,0.0223227,0.000133334
0.0268802,0.0223298,0.00014436
0.0270385,0.0223247,0.00013206
0.026924,0.0223452,0.000148714
0.0270244,0.0223238,0.000135958
0.0272596,0.0223217,0.000124144
0.0271266,0.0223237,0.000127522
0.0269846,0.0224122,0.000148833
0.0268595,0.0223251,0.000145563
0.0268089,0.0223232,0.000134009
0.0269973,0.0223492,0.000142993
0.0268606,0.0223212,0.000132531
0.0268009,0.0223306,0.00012614
0.0271144,0.0223242,0.00014925
0.0263467,0.022332,0.000129526
0.026955,0.0223268,0.000139913
0.0265729,0.0223291,0.000141349
0.0269729,0.0223352,0.000150089
0.0269575,0.0223254,0.000136347
0.026938,0.022324,0.000131376
0.0267113,0.0223219,0.000137968
0.0269249,0.0223236,0.000145237
0.0270492,0.0223316,0.000146103
0.0270571,0.0223272,0.000137207
0.0267402,0.0223429,0.000134212
0.0269145,0.0223312,0.0001408
