naive,reorder,direct
0.0245126,0.0260557,0.102971
0.0263361,0.0299646,0.0994665
0.0242455,0.025406,0.0980441
0.0233956,0.0242654,0.0971578
0.024492,0.0256622,0.0973917
0.0235512,0.026332,0.0978244
0.02411,0.0270741,0.0971064
0.0242325,0.0256158,0.0994639
0.0240623,0.0265286,0.0962592
0.0243066,0.0265693,0.0999976
0.0245664,0.0254238,0.095099
0.0251644,0.0243426,0.0987449
0.0246189,0.0240966,0.0980411
0.0237268,0.0252781,0.0975651
0.0243973,0.0257453,0.0985223
0.0256359,0.0253107,0.0976624
0.0242278,0.0286932,0.0967349
0.0234163,0.0241273,0.0991831
0.0240197,0.0253276,0.0972843
0.0245415,0.0260851,0.0979868
0.0245256,0.0280658,0.0970558
0.0246937,0.0290275,0.0965216
0.0242882,0.0244536,0.0972795
0.0237419,0.0257558,0.0961355
0.0244851,0.0252703,0.0956467
0.0244404,0.0262217,0.0967867
0.0246027,0.025511,0.0984772
0.0234608,0.0266346,0.100554
0.0250477,0.0310014,0.100913
0.0257116,0.0286889,0.103123
0.0239046,0.0265185,0.0990864
0.0240049,0.0283806,0.0982465
