naive,reorder,direct
0.0462793,0.0412104,0.214934
0.0428687,0.0322476,0.187495
0.0454388,0.0334556,0.193707
0.0478867,0.049074,0.210282
0.0570916,0.040161,0.205203
0.0445828,0.0348149,0.199172
0.0439506,0.0323888,0.189094
0.0438427,0.0354495,0.192415
0.0420455,0.0367679,0.187419
0.044025,0.0323464,0.188942
0.0439794,0.0327776,0.189965
0.0435836,0.0350409,0.189874
0.0437733,0.0357406,0.186725
0.0441435,0.0360862,0.20349
0.0472467,0.0382362,0.194817
0.0457223,0.0360052,0.187095
0.0425694,0.0337165,0.187978
0.0438924,0.0330452,0.189823
0.0485767,0.0412085,0.215962
0.0457765,0.0355047,0.208548
0.0450533,0.0409383,0.207984
0.0477892,0.0340573,0.206237
0.0450197,0.0440513,0.212898
0.0475678,0.0356404,0.198909
0.0432707,0.0329023,0.203761
0.0438092,0.034291,0.207499
0.0430842,0.0346236,0.190803
0.0433356,0.0343401,0.187618
0.0420795,0.033842,0.188857
0.0472774,0.0332773,0.187406
0.0440416,0.0371285,0.192929
0.0431364,0.0409423,0.189107
