naive,reorder,direct
0.0231046,0.0273193,0.0989258
0.0228994,0.0240479,0.0949849
0.0239973,0.0247276,0.0955907
0.0232667,0.0261641,0.0949717
0.0233032,0.0237121,0.10045
0.0242317,0.0263129,0.0950315
0.0235877,0.0245323,0.0969067
0.0229826,0.0257222,0.0961392
0.0229095,0.0247791,0.0962241
0.0238663,0.0268041,0.0947329
0.0241445,0.0243001,0.0955789
0.0236532,0.0245581,0.0981394
0.0229144,0.0243265,0.0949963
0.0235619,0.0249485,0.0960054
0.0235312,0.0266911,0.0956139
0.0236988,0.0242693,0.0964006
0.0232736,0.0253829,0.0947285
0.0235818,0.0234627,0.0959598
0.023518,0.0254996,0.0957779
0.0238564,0.0263888,0.0939901
0.0237576,0.0252867,0.0954328
0.023178,0.0240597,0.0954761
0.0240743,0.028682,0.0965724
0.0255646,0.0255683,0.0961253
0.0234257,0.025716,0.0944757
0.0233299,0.024308,0.0978329
0.0235754,0.024664,0.0958353
0.0238028,0.0259168,0.0979438
0.023287,0.0247629,0.0948434
0.0236193,0.024174,0.0958828
0.0241721,0.025177,0.0952155
0.0248389,0.0260693,0.0954843
