naive,reorder,direct
0.0874597,0.077868,0.364477
0.0857233,0.0783052,0.361252
0.0856373,0.0802727,0.364445
0.0873369,0.0766359,0.36445
0.0866587,0.0763714,0.365213
0.0895985,0.0926745,0.365825
0.0891368,0.0775142,0.360306
0.0871847,0.0797285,0.362162
0.0872512,0.076699,0.365044
0.0880659,0.0782609,0.360267
0.08918,0.0763243,0.361439
0.0921346,0.0780986,0.365278
0.0886476,0.0775791,0.363416
0.0874365,0.0778055,0.362062
0.0880256,0.0783935,0.365259
0.0894372,0.078741,0.380666
0.0916255,0.0894001,0.368112
0.0880385,0.08957,0.399036
0.0878322,0.0846233,0.383242
0.0857038,0.0755169,0.369699
0.0884095,0.0771531,0.36317
0.0891753,0.0749679,0.35973
0.0868385,0.0775245,0.389237
0.0888725,0.0828912,0.36481
0.0887583,0.0751516,0.363863
0.0886303,0.078223,0.364231
0.0892143,0.0740134,0.382673
0.125847,0.083858,0.375854
0.0873559,0.0821308,0.363073
0.0874615,0.0878937,0.410803
0.0927868,0.0788015,0.383969
0.0868245,0.0815568,0.367323
