naive,reorder,direct
0.0228587,0.0291844,0.118554
0.0239372,0.0310337,0.114157
0.0234721,0.0254645,0.105398
0.0232903,0.0274546,0.106947
0.0240433,0.0254083,0.105881
0.0256125,0.0259117,0.0982688
0.0225116,0.0234938,0.0980008
0.0279624,0.0243789,0.0968745
0.023045,0.0245701,0.096751
0.0233634,0.0263056,0.102408
0.0238875,0.0259907,0.0950403
0.0228197,0.0251569,0.100217
0.0254999,0.0250222,0.0960033
0.0229335,0.0248342,0.0980405
0.0237049,0.0270429,0.0969962
0.0232969,0.0252009,0.0979534
0.0226306,0.0238537,0.100887
0.0239636,0.027099,0.0961991
0.0225793,0.0281621,0.0977006
0.0240751,0.024879,0.0958588
0.0234012,0.0251672,0.0970458
0.0239789,0.0249814,0.0975157
0.022416,0.0320267,0.0966261
0.0233486,0.0261134,0.110611
0.022814,0.0243145,0.103164
0.0235411,0.0265692,0.107232
0.0243787,0.0254689,0.103462
0.0236929,0.0258912,0.107488
0.0246258,0.0270174,0.101764
0.0245288,0.0262046,0.0984849
0.0227425,0.034115,0.10757
0.0231631,0.0262502,0.102756
