naive,reorder,direct
0.0425335,0.0289122,0.0963228
0.0428098,0.0357895,0.105123
0.0423414,0.0289676,0.0926279
0.0418478,0.0278167,0.0925856
0.0428424,0.0322093,0.0936361
0.0445153,0.0337683,0.100675
0.0421198,0.0320988,0.0990344
0.0414406,0.0286426,0.105079
0.0483652,0.0334096,0.116084
0.050065,0.0333849,0.106508
0.0429879,0.0295965,0.106576
0.0433565,0.0291114,0.105242
0.0428945,0.0296862,0.095242
0.0407694,0.0294639,0.0920333
0.0417818,0.0287048,0.0892936
0.0404558,0.0276737,0.0920665
0.0412156,0.0287327,0.09378
0.0428478,0.0278069,0.0901223
0.0408847,0.0280337,0.088513
0.0423334,0.0297997,0.091635
0.0423253,0.0280716,0.0883694
0.0416294,0.0302665,0.0953036
0.047834,0.0348715,0.113942
0.0442318,0.0338323,0.0998948
0.043682,0.0285521,0.0997241
0.0415691,0.0300113,0.10203
0.0438854,0.0317593,0.0948127
0.0415298,0.0282177,0.0905348
0.0422222,0.0287403,0.0953296
0.0430014,0.0278478,0.0935441
0.041873,0.0301032,0.0934153
0.0414312,0.0277784,0.0937491
