naive,reorder,direct
0.0046311,0.0078771,0.0014255
0.0036815,0.0080338,0.0011363
0.0037005,0.0074354,0.0012096
0.0036968,0.0071074,0.0009047
0.0036751,0.0072995,0.0011598
0.0037156,0.0071249,0.001669
0.0037081,0.0072216,0.001081
0.0037788,0.0080946,0.0014927
0.0037078,0.0071272,0.0011299
0.0037037,0.0081506,0.0011852
0.0036906,0.0074832,0.0011496
0.0036924,0.0071655,0.0035951
0.0037456,0.0071022,0.001069
0.0037321,0.0071563,0.0011464
0.0037385,0.0071597,0.0011163
0.0037206,0.0074324,0.0010202
0.0036791,0.0071555,0.0009723
0.0038275,0.0077245,0.0013075
0.0039223,0.0081912,0.0008822
0.0037338,0.0071383,0.000904
0.0038255,0.0072208,0.0011944
0.0037653,0.0072772,0.000965
0.004359,0.0080729,0.0009571
0.0042727,0.0074109,0.0009968
0.0037584,0.0077237,0.0011922
0.0044127,0.0072976,0.0017643
0.0039189,0.0080577,0.0008555
0.0037154,0.0075763,0.000828599
0.0037111,0.0072573,0.0012291
0.0037773,0.0073988,0.0013401
0.0037101,0.0074305,0.0016644
0.0037134,0.0073502,0.0014241
