naive,reorder,direct
0.0403654,0.0463891,0.019454
0.0402849,0.0456556,0.0203523
0.0406935,0.0470829,0.0191627
0.0412091,0.0460585,0.0192296
0.0398811,0.0461996,0.0204836
0.0403026,0.0455578,0.020757
0.0402426,0.0451915,0.0198398
0.0426324,0.0454739,0.0197822
0.0409601,0.0462771,0.0196226
0.0413357,0.0466077,0.0211494
0.041243,0.0464039,0.0187218
0.0402296,0.0457012,0.0244138
0.0400789,0.0458055,0.0193953
0.0408058,0.0455624,0.0201174
0.0404242,0.0470887,0.0189125
0.0400177,0.0453767,0.0199477
0.0400312,0.0463854,0.0192861
0.0402453,0.0451211,0.0198771
0.0409922,0.0452374,0.0201082
0.040218,0.0452829,0.0200145
0.0402245,0.0452223,0.0185241
0.0415293,0.0451597,0.0191944
0.0418619,0.0485105,0.0212901
0.0402615,0.0465381,0.0189851
0.0402762,0.0452617,0.0197512
0.0404876,0.0479972,0.0198312
0.0400753,0.0453567,0.0196749
0.040541,0.0450874,0.02003
0.0405992,0.046115,0.0202553
0.0408022,0.0456376,0.0204851
0.0409514,0.0468777,0.0194886
0.0408056,0.0458049,0.0192032
