naive,reorder,direct
0.0850208,0.0670225,0.175175
0.0830041,0.0642143,0.170136
0.082936,0.0662436,0.170464
0.0835698,0.0677296,0.169976
0.0839612,0.0644209,0.16941
0.082786,0.0654118,0.170524
0.0838512,0.0693876,0.170333
0.0843463,0.0649472,0.171868
0.0824962,0.064707,0.167581
0.08283,0.0649446,0.168653
0.0822987,0.0640365,0.168678
0.0829632,0.0641127,0.172846
0.081983,0.0680834,0.170129
0.0849622,0.0647279,0.169682
0.0846324,0.0647105,0.169397
0.0842745,0.0652451,0.170243
0.0824363,0.0647191,0.168717
0.0845934,0.0678199,0.168295
0.0840306,0.0652049,0.16858
0.0821528,0.0658369,0.168408
0.0823304,0.0677332,0.167985
0.0816359,0.0644128,0.167639
0.0827531,0.0676332,0.168235
0.0848869,0.0672867,0.168566
0.0832553,0.0636565,0.170651
0.0823255,0.0638856,0.171056
0.0824098,0.0674494,0.170407
0.0836,0.0649507,0.171845
0.0817457,0.0646996,0.169229
0.0820439,0.0660653,0.170587
0.0835495,0.0639547,0.168863
0.0827614,0.0645433,0.1672
