naive,reorder,direct
0.0833758,0.0672523,0.180119
0.083664,0.0674568,0.177941
0.0919203,0.0720531,0.197584
0.0870566,0.0717807,0.195955
0.084528,0.0692961,0.175222
0.085311,0.067701,0.179697
0.081752,0.067761,0.173785
0.0853734,0.0697348,0.178955
0.0837472,0.0671257,0.175746
0.0829504,0.0670973,0.190936
0.0845811,0.0685709,0.188782
0.0852371,0.069367,0.187271
0.0823125,0.0683446,0.184514
0.0845591,0.0711277,0.193494
0.08355,0.0696958,0.179968
0.102078,0.0716093,0.177945
0.0864173,0.0681838,0.187298
0.0846931,0.0692924,0.182859
0.0823995,0.069095,0.176484
0.0843649,0.066641,0.186717
0.0843183,0.0712072,0.185869
0.0832816,0.0684641,0.175989
0.0838327,0.0649297,0.175566
0.0853947,0.0658834,0.174323
0.0823019,0.0671391,0.170732
0.0831593,0.0671213,0.174053
0.084119,0.0735193,0.171832
0.0821428,0.0668642,0.174268
0.0821372,0.0678305,0.173687
0.0835144,0.0688362,0.174566
0.0822761,0.0713472,0.175273
0.0836935,0.0672324,0.178593
