naive,reorder,direct
0.0810095,0.0959095,0.0880307
0.0858345,0.0955355,0.0867417
0.0832076,0.0949916,0.0865814
0.0816564,0.0964535,0.0853412
0.080877,0.0979394,0.0857001
0.0801396,0.0946779,0.0861325
0.0811873,0.0948194,0.0861762
0.084088,0.0974563,0.0855105
0.0794516,0.0957145,0.0858341
0.0813181,0.0955486,0.0858342
0.0809342,0.0953135,0.0874511
0.0810634,0.0958323,0.08818
0.0800005,0.0966336,0.0859768
0.0801474,0.0965299,0.0865934
0.0797414,0.0956645,0.0881331
0.0825432,0.0947358,0.0866836
0.0805512,0.0957423,0.0869644
0.0804091,0.0946703,0.0864438
0.0823089,0.0951912,0.0858355
0.0813367,0.0949767,0.0854263
0.0826086,0.096044,0.0854824
0.0817035,0.0943605,0.0861098
0.0811001,0.0964073,0.0905737
0.0835762,0.0954248,0.0865356
0.0809508,0.0952442,0.086065
0.0811056,0.0947512,0.0898934
0.0799224,0.0941087,0.0868495
0.0798835,0.0936918,0.0864026
0.0819456,0.0956293,0.0858535
0.0801596,0.0961958,0.0865824
0.0796498,0.0959185,0.0874095
0.0813881,0.0951832,0.0872504
