naive,reorder,direct
0.0885034,0.080327,0.373972
0.0897793,0.0761747,0.36697
0.0913272,0.0813436,0.405027
0.105534,0.10929,0.367231
0.0859913,0.0762419,0.373036
0.0881967,0.0771814,0.365193
0.0876299,0.0742711,0.392414
0.0895881,0.0846951,0.432651
0.0948037,0.0887585,0.415254
0.0869858,0.0907909,0.398016
0.0862638,0.0798979,0.388059
0.0896961,0.0869535,0.368739
0.0860444,0.0742633,0.364453
0.0878485,0.0742641,0.361729
0.0859334,0.0770444,0.364701
0.0854843,0.0765503,0.364275
0.0858237,0.0773283,0.363043
0.0862254,0.0778524,0.362947
0.0863846,0.0794103,0.362074
0.0868105,0.0762874,0.361937
0.0861596,0.0779343,0.363305
0.0862307,0.0763195,0.360722
0.0869723,0.0777807,0.370183
0.0869737,0.0819765,0.371826
0.0906121,0.0833771,0.42685
0.0898737,0.08522,0.405265
0.0865698,0.0797404,0.377943
0.0879032,0.0770251,0.367257
0.087599,0.0757892,0.371269
0.0888599,0.0819136,0.374259
0.0886147,0.0752085,0.369262
0.0888132,0.0794433,0.369628
