naive,reorder,direct
0.0404469,0.152744,0.366465
0.0403218,0.151005,0.299325
0.0405813,0.149977,0.298258
0.0408396,0.149987,0.298207
0.0404038,0.150398,0.298346
0.0403799,0.150015,0.29821
0.0409521,0.149976,0.298172
0.0404927,0.149918,0.298159
0.040863,0.150891,0.299038
0.040875,0.150836,0.298465
0.0410509,0.149969,0.298253
0.0407631,0.149952,0.298179
0.0408516,0.150015,0.298245
0.040796,0.149964,0.298213
0.0407796,0.149965,0.298209
0.040516,0.149926,0.298151
0.0408242,0.150571,0.298357
0.0405494,0.149955,0.298175
0.0406157,0.149983,0.298187
0.0405053,0.149948,0.298183
0.0404986,0.150016,0.298763
0.0404539,0.150169,0.298226
0.0408335,0.150026,0.298219
0.040653,0.150044,0.298196
0.0407724,0.150034,0.2982
0.040865,0.149979,0.298155
0.0406906,0.149976,0.29819
0.0404149,0.149956,0.298182
0.0408163,0.149979,0.298565
0.0406408,0.150125,0.298227
0.0408117,0.150022,0.298225
0.0405175,0.150246,0.298297
