naive,reorder,direct
0.424657,0.729183,0.874216
0.423861,0.71359,0.80284
0.422402,0.713252,0.802089
0.422285,0.713094,0.802309
0.422023,0.723411,0.8059
0.422028,0.713101,0.802725
0.423176,0.713021,0.801993
0.422073,0.712937,0.803257
0.423719,0.713097,0.804577
0.421818,0.713082,0.803129
0.423203,0.713196,0.801807
0.421445,0.713278,0.80193
0.423692,0.713057,0.80217
0.422914,0.713061,0.801894
0.422556,0.713138,0.802734
0.422782,0.713182,0.802028
0.421785,0.7134,0.804224
0.422945,0.717489,0.805953
0.422683,0.713181,0.802246
0.423089,0.713352,0.802388
0.422434,0.713176,0.805508
0.423345,0.713013,0.802394
0.422134,0.72098,0.806354
0.421628,0.71311,0.802025
0.423528,0.713063,0.803242
0.42405,0.71302,0.802087
0.422761,0.713047,0.801912
0.422342,0.713052,0.802456
0.422325,0.713008,0.802133
0.42216,0.713405,0.802574
0.422379,0.713023,0.804046
0.42332,0.713186,0.80304
