naive,reorder,direct
0.214624,0.192367,0.382046
0.215887,0.192398,0.317024
0.214357,0.192323,0.316936
0.213661,0.192286,0.316932
0.214199,0.192226,0.316946
0.214339,0.192213,0.316978
0.214256,0.192267,0.316951
0.213827,0.192217,0.316926
0.213533,0.192226,0.31701
0.21891,0.192626,0.317111
0.214057,0.192256,0.316972
0.214242,0.192248,0.316954
0.214026,0.192276,0.317228
0.214833,0.192325,0.317022
0.214235,0.19222,0.316938
0.214818,0.192281,0.316929
0.21344,0.192181,0.316941
0.21317,0.192201,0.31691
0.215163,0.19222,0.316973
0.213713,0.19233,0.31693
0.213955,0.192272,0.316929
0.214678,0.19223,0.316959
0.221595,0.193206,0.317152
0.213832,0.192358,0.316967
0.214027,0.192249,0.316981
0.213709,0.19226,0.316956
0.213489,0.192194,0.316911
0.214476,0.192261,0.31695
0.213989,0.19224,0.316923
0.21431,0.192245,0.316921
0.214504,0.192218,0.316944
0.214788,0.192205,0.316907
