naive,reorder,direct
0.214917,0.197712,0.382168
0.214556,0.196249,0.316944
0.213805,0.196071,0.316946
0.214189,0.196403,0.316934
0.214429,0.196011,0.31693
0.214009,0.196307,0.316938
0.213988,0.196044,0.316892
0.214509,0.196244,0.316893
0.214432,0.196216,0.316901
0.213861,0.19608,0.316933
0.214497,0.196527,0.316893
0.214558,0.196107,0.316923
0.214723,0.195907,0.316954
0.215201,0.22695,0.318488
0.220575,0.207146,0.318164
0.215193,0.196315,0.316962
0.214314,0.196094,0.316928
0.214811,0.196021,0.316906
0.214892,0.196429,0.316881
0.215386,0.196054,0.316885
0.214059,0.197006,0.316902
0.214702,0.19602,0.316926
0.215186,0.196034,0.31695
0.214661,0.195981,0.31689
0.214556,0.195995,0.316917
0.214714,0.196171,0.316946
0.213771,0.20714,0.317107
0.215024,0.196392,0.31694
0.214343,0.196042,0.316941
0.215067,0.196074,0.316877
0.214528,0.196058,0.31691
0.214537,0.196402,0.316933
